SMILES,Count
Fc1ccc(-c2cnc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cc1,2
Nc1ccc(N=C=S)cc1,2
N#COc1ccc(N)cc1,2
Fc1ccc(-c2nc3ccc(C(F)(F)F)cc3[nH]2)cn1,2
O=C(N1CCCc2ccccc21)C1(c2cccc(Cl)c2)CC1,2
O=S(=O)(c1ccc(Cl)c(C(F)(F)F)c1)N1CCCc2ccccc21,2
Oc1c(/C=N\c2cc(C(F)(F)F)ccc2Cl)sc2ccccc12,2
FC(F)(F)Oc1cc(Br)c2nc(S)sc2c1,2
FC(F)(F)Oc1cc(Br)cc(Br)c1,2
O=C(c1cccc(Br)c1)C(F)F,2
O=[N+]([O-])c1cc(Br)ccc1OC(Cl)(Cl)Cl,2
O=[N+]([O-])c1cc(Br)ccc1OC(F)(F)F,2
BrCCOc1cc(Br)ccc1Br,2
FC(F)C(F)(F)Oc1cccc(Br)c1,2
O=[N+]([O-])c1ccc(Br)cc1OC(F)(F)F,2
FC(F)(F)Oc1cc(Br)ccc1S,2
O=C(N1CCCCC1)C1(c2ccccc2Cl)CC1,2
O=C(N1CCCCC1)C1(c2ccccc2F)CC1,2
O=C1N[C@@H]2CCC[C@H]1CN(C(=O)C1(c3ccc(F)cc3)CC1)C2,2
FC(F)(F)Oc1ccccc1-c1cccc(Cl)n1,2
O=C1NCCCc2[nH]c(-c3cc(C(F)(F)F)ccc3F)nc21,2
FC(F)(F)c1ccc(Br)c([C@H]2CCN2)c1,2
FC(F)(F)c1ccc(Cl)c([C@H]2CCN2)c1,2
FC(F)(F)c1cccc([C@H]2CCN2)c1Cl,2
O=C(c1cccc(C(F)(F)F)c1)N1CCSc2ccc(Cl)cc21,2
Clc1cc(Br)cc(OC(Cl)(Cl)Cl)c1,2
FC(F)(Cl)Oc1cc(Cl)cc(Br)c1,2
FC(F)(F)Oc1cc(Cl)cc(Br)c1,2
FC(F)(F)c1cc(Cl)ccc1[C@H]1CCN1,2
N[C@H](CF)c1cc(Cl)ccc1[N+](=O)[O-],2
O=[N+]([O-])c1cc(Cl)c(Cl)cc1OC(Cl)(Cl)Cl,2
O=[N+]([O-])c1cc(Cl)c(Cl)cc1OC(F)(F)Cl,2
O=[N+]([O-])c1cc(Cl)c(F)cc1OC(F)(F)Cl,2
O=[N+]([O-])c1cc(Cl)c(F)cc1OC(F)(F)F,2
FC(F)(F)Oc1cc(Cl)c(I)c(Cl)c1,2
Nc1c(Cl)cc(OC(F)(F)F)cc1Br,2
O=[N+]([O-])c1cc(Cl)ccc1OC(F)(F)F,2
